"","brewery_id","X","abv","ibu","id","name","style","ounces","brew_name","city","state","city_state"
"2174",464,907,0.06,18,1108,"Sweet As Pacific Ale","American Pale Wheat Ale",12,"Good Life Brewing Company","Bend"," OR","Bend  OR"
"2175",465,752,0.07,NA,1107,"Nut Sack Imperial Brown Ale","American Brown Ale",12,"Engine 15 Brewing","Jacksonville Beach"," FL","Jacksonville Beach  FL"
"2176",466,979,0.05,30,1106,"Pablo Beach Pale Ale","American Pale Ale (APA)",12,"Green Room Brewing","Jacksonville"," FL","Jacksonville  FL"
"2177",467,450,NA,NA,1096,"Tampa Pale Ale","American Pale Ale (APA)",12,"Brindle Dog Brewing Company","Tampa Bay"," FL","Tampa Bay  FL"
"2178",467,451,NA,NA,1095,"Orange Grove Wheat Ale","American Pale Wheat Ale",12,"Brindle Dog Brewing Company","Tampa Bay"," FL","Tampa Bay  FL"
"2179",468,1618,0.05,NA,1087,"Side Kick Kölsch","Kölsch",12,"Peace Tree Brewing Company","Knoxville"," IA","Knoxville  IA"
"2180",469,2135,0.047,42,1082,"RecreationAle","American Pale Ale (APA)",12,"Terrapin Brewing Company","Athens"," GA","Athens  GA"
"2181",470,1633,0.051,NA,1062,"Pete's ESP Lager (1998)","American Pale Lager",12,"Pete's Brewing Company","San Antonio"," TX","San Antonio  TX"
"2182",470,1634,0.047,NA,1061,"Pete's Wicked Summer Brew (1995)","American Pale Wheat Ale",12,"Pete's Brewing Company","San Antonio"," TX","San Antonio  TX"
"2183",470,1635,0.049,NA,1060,"Pete's Wicked Bohemian Pilsner (1997)","Czech Pilsener",12,"Pete's Brewing Company","San Antonio"," TX","San Antonio  TX"
"2184",470,1636,NA,NA,1056,"Pete's Wicked Pale Ale (1997)","American Pale Ale (APA)",12,"Pete's Brewing Company","San Antonio"," TX","San Antonio  TX"
"2185",470,1637,0.047,NA,1055,"Pete's Wicked Summer Brew (2002)","American Pale Wheat Ale",12,"Pete's Brewing Company","San Antonio"," TX","San Antonio  TX"
"2186",470,1638,0.047,NA,1054,"Pete's Wicked Summer Brew (1997)","American Pale Wheat Ale",12,"Pete's Brewing Company","San Antonio"," TX","San Antonio  TX"
"2187",470,1639,0.047,NA,1053,"Pete's Wicked Summer Brew (1996)","American Pale Wheat Ale",12,"Pete's Brewing Company","San Antonio"," TX","San Antonio  TX"
"2188",471,1528,0.095,19,1059,"The Hole in Hadrian's Wall","Scottish Ale",16,"Okoboji Brewing Company","Spirit Lake"," IA","Spirit Lake  IA"
"2189",471,1529,0.065,26,1058,"33 Select Brown Ale","American Brown Ale",16,"Okoboji Brewing Company","Spirit Lake"," IA","Spirit Lake  IA"
"2190",471,1530,0.06,29,603,"Midwest Charm Farmhouse Ale","Saison / Farmhouse Ale",16,"Okoboji Brewing Company","Spirit Lake"," IA","Spirit Lake  IA"
"2191",471,1531,0.05,45,602,"Boji Blue Pale Ale","American Pale Ale (APA)",16,"Okoboji Brewing Company","Spirit Lake"," IA","Spirit Lake  IA"
"2192",471,1532,0.057,26,601,"Winter Games Select #32 Stout","American Stout",16,"Okoboji Brewing Company","Spirit Lake"," IA","Spirit Lake  IA"
"2193",471,1533,0.05,23,600,"Boji Beach Golden Rye Ale","Rye Beer",16,"Okoboji Brewing Company","Spirit Lake"," IA","Spirit Lake  IA"
"2194",472,672,0.06,31,1057,"South Ridge Amber Ale","American Amber / Red Ale",16,"Crystal Springs Brewing Company","Boulder"," CO","Boulder  CO"
"2195",472,673,0.052,23,681,"Summertime Ale","Kölsch",16,"Crystal Springs Brewing Company","Boulder"," CO","Boulder  CO"
"2196",473,753,0.05,NA,1039,"Underachiever","American Adjunct Lager",16,"Engine House 9","Tacoma"," WA","Tacoma  WA"
"2197",474,2205,0.05,NA,1027,"Big Island Shandy","Shandy",16,"Tonka Beer Company","Minnetonka"," MN","Minnetonka  MN"
"2198",474,2206,0.068,NA,1026,"Preservation IPA","American IPA",16,"Tonka Beer Company","Minnetonka"," MN","Minnetonka  MN"
"2199",475,1690,0.072,55,1021,"Watership Brown Ale","American Brown Ale",12,"Red Hare Brewing Company","Marietta"," GA","Marietta  GA"
"2200",475,1691,0.062,55,938,"Gangway IPA","American IPA",12,"Red Hare Brewing Company","Marietta"," GA","Marietta  GA"
"2201",475,1692,0.049,NA,715,"Long Day Lager","Czech Pilsener",12,"Red Hare Brewing Company","Marietta"," GA","Marietta  GA"
"2202",476,1013,0.046,17,1016,"Orange Wheat","Fruit / Vegetable Beer",12,"Hangar 24 Craft Brewery","Redlands"," CA","Redlands  CA"
"2203",476,1014,0.043,14,1015,"Hangar 24 Helles Lager","Munich Helles Lager",12,"Hangar 24 Craft Brewery","Redlands"," CA","Redlands  CA"
"2204",477,243,0.07,NA,1003,"Big Elm IPA","American IPA",12,"Big Elm Brewing","Sheffield"," MA","Sheffield  MA"
"2205",477,244,0.065,NA,1002,"Gerry Dog Stout","American Stout",12,"Big Elm Brewing","Sheffield"," MA","Sheffield  MA"
"2206",477,245,0.06,NA,1001,"413 Farmhouse Ale","Saison / Farmhouse Ale",12,"Big Elm Brewing","Sheffield"," MA","Sheffield  MA"
"2207",478,908,0.056,36,1000,"Good People Pale Ale","American Pale Ale (APA)",12,"Good People Brewing Company","Birmingham"," AL","Birmingham  AL"
"2208",478,909,0.093,103,312,"Snake Handler Double IPA","American Double / Imperial IPA",12,"Good People Brewing Company","Birmingham"," AL","Birmingham  AL"
"2209",478,910,0.06,54,311,"Coffee Oatmeal Stout","Oatmeal Stout",12,"Good People Brewing Company","Birmingham"," AL","Birmingham  AL"
"2210",478,911,0.06,64,309,"Good People IPA","American IPA",12,"Good People Brewing Company","Birmingham"," AL","Birmingham  AL"
"2211",478,912,0.058,36,308,"Good People American Brown Ale","American Brown Ale",12,"Good People Brewing Company","Birmingham"," AL","Birmingham  AL"
"2212",479,1040,0.072,45,990,"Loose Cannon","American IPA",12,"Heavy Seas Beer","Halethorpe"," MD","Halethorpe  MD"
"2213",479,1041,0.06,30,989,"AARGHtoberfest!","Märzen / Oktoberfest",12,"Heavy Seas Beer","Halethorpe"," MD","Halethorpe  MD"
"2214",479,1042,0.06,NA,988,"Davy Jones Lager","Cream Ale",12,"Heavy Seas Beer","Halethorpe"," MD","Halethorpe  MD"
"2215",480,2129,0.057,NA,973,"Face Down Brown Ale","American Brown Ale",12,"Telluride Brewing Company","Telluride"," CO","Telluride  CO"
"2216",480,2130,0.064,NA,827,"Tempter IPA","American IPA",12,"Telluride Brewing Company","Telluride"," CO","Telluride  CO"
"2217",480,2131,0.055,NA,589,"Bridal Veil Rye Pale Ale","American Pale Ale (APA)",12,"Telluride Brewing Company","Telluride"," CO","Telluride  CO"
"2218",481,57,0.059,75,972,"Rude Parrot IPA","American IPA",16,"7 Seas Brewing Company","Gig Harbor"," WA","Gig Harbor  WA"
"2219",481,58,0.054,30,866,"British Pale Ale (2010)","English Pale Ale",16,"7 Seas Brewing Company","Gig Harbor"," WA","Gig Harbor  WA"
"2220",481,59,0.054,30,48,"British Pale Ale","English Pale Ale",16,"7 Seas Brewing Company","Gig Harbor"," WA","Gig Harbor  WA"
"2221",481,60,0.084,82,47,"Ballz Deep Double IPA","American Double / Imperial IPA",16,"7 Seas Brewing Company","Gig Harbor"," WA","Gig Harbor  WA"
"2222",482,640,0.068,75,970,"Des Moines IPA","American IPA",16,"Confluence Brewing Company","Des Moines"," IA","Des Moines  IA"
"2223",482,641,0.048,22,969,"Capital Gold Golden Lager","German Pilsener",16,"Confluence Brewing Company","Des Moines"," IA","Des Moines  IA"
"2224",482,642,0.056,21,968,"Farmer John's Multi-Grain Ale","American Blonde Ale",16,"Confluence Brewing Company","Des Moines"," IA","Des Moines  IA"
"2225",483,180,0.068,70,966,"Topcutter India Pale Ale","American IPA",12,"Bale Breaker Brewing Company","Yakima"," WA","Yakima  WA"
"2226",483,181,0.044,38,965,"Field 41 Pale Ale","American Pale Ale (APA)",12,"Bale Breaker Brewing Company","Yakima"," WA","Yakima  WA"
"2227",484,2163,NA,NA,963,"Manhattan Gold Lager (1990)","American Amber / Red Lager",12,"The Manhattan Brewing Company","New York"," NY","New York  NY"
